epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.39,2.97843,12.5913,1.22327,0.49828,0.23311,0.19696,0.05029,2.99646,3.92348,1.17229,0.00042,0.00042,0.00042
2,404.515,3.00869,2.94945,1.17417,0.00957,0.2027,0.00434,0.0013,2.86766,1483.62,1.20502,0.00077486,0.00077486,0.00077486
3,611.331,3.02545,2.76657,1.16897,0.00077,0.00338,1e-05,0,1.2791,121853,1.71909,0.0010426,0.0010426,0.0010426
4,819.713,2.77139,2.17667,1.08609,0.01886,0.11149,0.00402,0.00124,3.36034,9043.33,1.75261,0.00122322,0.00122322,0.00122322
5,1031.38,2.80872,1.87209,1.12302,0.10524,0.41216,0.05346,0.01481,2.76849,123.881,1.12309,0.001208,0.001208,0.001208
6,1241.05,2.71844,1.807,1.07572,0.54073,0.375,0.33636,0.11485,2.63476,1.64558,1.09454,0.00101,0.00101,0.00101
7,1451.26,2.50415,1.6597,1.07809,0.61009,0.48311,0.42689,0.12616,2.49865,2.14919,1.02753,0.000812,0.000812,0.000812
8,1656.53,2.61305,1.5816,1.0588,0.42502,0.36824,0.25676,0.06112,2.98634,2.13752,1.13436,0.000614,0.000614,0.000614
9,1839.28,2.59234,1.52239,1.05457,0.65707,0.47902,0.47332,0.12827,2.6573,1.51622,1.06077,0.000416,0.000416,0.000416
10,2021.7,2.36775,1.4079,1.00445,0.69323,0.54968,0.5768,0.1768,2.43211,1.38357,1.01067,0.000218,0.000218,0.000218
